brand,product,hex,H,S,V,Lightness,country
Dior,Diorskin Forever,#e4bf9a,30,32,89,80,Japan
NARS,Velvet Matte,#e4aa7c,27,46,89,74,Japan
NARS,Velvet Matte,#e4a36a,28,54,89,72,Japan
Bharat & Doris,Liquid Foundation,#e3b385,29,41,89,77,India
bareMinerals,barePRO,#e6bc94,29,36,90,79,US
Estée Lauder,Double Wear,#e5b593,25,36,90,77,US
Estée Lauder,Double Wear,#e5ad8a,23,40,90,75,US
L'Oréal,Infalliable,#e5ad8b,23,39,90,75,US
Shu Uemera,Petal Skin Fluid,#e5bf81,37,44,90,80,Japan
Dior,Diorskin Forever,#e6c6ad,26,25,90,82,Japan
NARS,Velvet Matte,#e6b685,30,42,90,78,Japan
Colorbar,Perfect Match,#e5ae87,25,41,90,76,India
Maybelline,Fit Me Matte,#e6b898,25,34,90,78,India
Maybelline,Fit Me,#e8ba8c,30,40,91,79,US
bareMinerals,barePRO,#e9c89e,34,32,91,83,US
Estée Lauder,Double Wear,#e7b79c,22,32,91,78,US
Revlon,ColorStay,#e8b29c,17,33,91,77,US
L'Oréal,Infalliable,#e7ad82,26,44,91,76,US
L'Oréal,Infalliable,#e8b481,30,44,91,77,US
RMK,RMK Liquid,#e8a463,29,57,91,73,Japan
Addiction,The Foundation,#e9b079,29,48,91,76,Japan
Shu Uemera,Petal Skin Fluid,#e9a986,21,42,91,75,Japan
Shiseido,Synchro Skin,#e8b193,21,37,91,77,Japan
Shiseido,Synchro Skin,#e9b085,26,43,91,76,Japan
Kate,Secret Skin Maker Zero,#e8b793,25,37,91,78,Japan
IPSA,Liquid Foundation,#e9b494,23,36,91,78,Japan
IPSA,Liquid Foundation,#e7aa8d,19,39,91,75,Japan
Dior,Diorskin Forever,#e7cbac,32,26,91,83,Japan
NARS,Velvet Matte,#e7ab74,29,50,91,75,Japan
Blue Heaven,X Factor,#e8b684,30,43,91,78,India
Maybelline,Fit Me Matte,#e7b9a2,20,30,91,79,India
L'Oréal,True Match,#e7cbb5,26,22,91,84,India
L'Oréal,True Match,#e8c7b8,19,21,91,83,India
L'Oréal,True Match,#e9c4b1,20,24,91,82,India
Maybelline,Fit Me,#eabda6,20,29,92,80,US
Maybelline,Fit Me,#eab181,27,45,92,77,US
bareMinerals,barePRO,#ebc99c,34,34,92,83,US
bareMinerals,barePRO,#eac8a3,31,30,92,83,US
Estée Lauder,Double Wear,#ebad81,25,45,92,76,US
Hegai and Ester,Photo Perfect,#ea8944,25,71,92,67,Nigeria
Addiction,The Foundation,#eab17a,29,48,92,77,Japan
Shu Uemera,Petal Skin Fluid,#ebc095,30,37,92,81,Japan
Shiseido,Synchro Skin,#ebb68c,27,40,92,78,Japan
Kate,Secret Skin Maker Zero,#ebbd88,32,42,92,80,Japan
Olivia,Foundation,#eb893e,26,74,92,67,India
Blue Heaven,X Factor,#ebb08a,24,41,92,77,India
Nykaa,SKINgenius,#ebc7af,24,26,92,83,India
Maybelline,Fit Me Matte,#ebba8a,30,41,92,79,India
Maybelline,Fit Me Matte,#ebbf93,30,37,92,81,India
Maybelline,Fit Me Matte,#ebba8a,30,41,92,79,India
L'Oréal,True Match,#eabea1,24,31,92,80,India
Maybelline,Fit Me,#edcfb9,25,22,93,85,US
bareMinerals,barePRO,#edceb2,28,25,93,85,US
Estée Lauder,Double Wear,#edbe98,27,36,93,81,US
Revlon,ColorStay,#eec498,31,36,93,82,US
Revlon,ColorStay,#eec29e,27,34,93,82,US
L'Oréal,Infalliable,#eeb67e,30,47,93,78,US
Hegai and Ester,Photo Perfect,#eebb7a,34,49,93,80,Nigeria
Shiseido,Synchro Skin,#edb899,22,35,93,79,Japan
IPSA,Liquid Foundation,#edc69f,30,33,93,83,Japan
IPSA,Liquid Foundation,#ecbb9a,24,35,93,80,Japan
IPSA,Liquid Foundation,#edc0a3,24,31,93,81,Japan
Dior,Diorskin Forever,#edc8af,24,26,93,83,Japan
NARS,Velvet Matte,#ecb98c,28,41,93,79,Japan
Colorbar,Perfect Match,#ecc3a5,25,30,93,82,India
Bharat & Doris,Liquid Foundation,#eec693,34,38,93,83,India
Lotus Herbals,Make-Up Ecostay,#eec1a2,24,32,93,82,India
L'Oréal,True Match,#eebfa3,22,32,93,81,India
L'Oréal,True Match,#eecfba,24,22,93,85,India
Maybelline,Fit Me,#f0b996,23,37,94,80,US
bareMinerals,barePRO,#f0cba1,32,33,94,84,US
RMK,RMK Liquid,#f0a762,29,59,94,75,Japan
IPSA,Liquid Foundation,#efc9a5,29,31,94,84,Japan
NARS,Velvet Matte,#efbf99,27,36,94,81,Japan
Olivia,Foundation,#ef9a5a,26,62,94,72,India
Lotus Herbals,Make-Up Ecostay,#f0c092,29,39,94,81,India
Maybelline,Fit Me Matte,#f0ba81,31,46,94,80,India
Maybelline,Fit Me Matte,#efb793,23,38,94,79,India
L'Oréal,True Match,#f0c7b3,20,25,94,83,India
L'Oréal,True Match,#f0cbb9,20,23,94,85,India
Maybelline,Fit Me,#f3cfb3,26,26,95,86,US
Maybelline,Fit Me,#f3b584,26,46,95,79,US
Estée Lauder,Double Wear,#f2bb96,24,38,95,80,US
Estée Lauder,Double Wear,#f2bf91,28,40,95,81,US
Revlon,ColorStay,#f1bc96,25,38,95,80,US
Revlon,ColorStay,#f1b496,20,38,95,79,US
L'Oréal,Infalliable,#f3c6a2,27,33,95,83,US
RMK,RMK Liquid,#f3c095,27,39,95,82,Japan
Addiction,The Foundation,#f3bc86,30,45,95,80,Japan
Maybelline,Fit Me Matte,#f3b989,27,44,95,80,India
Maybelline,Fit Me Matte,#f3b27d,27,49,95,78,India
Hegai and Ester,Photo Perfect,#f6a762,28,60,96,75,Nigeria
Shu Uemera,Petal Skin Fluid,#f4d6a4,37,33,96,87,Japan
NARS,Velvet Matte,#f6d0a1,33,35,96,86,Japan
Revlon,ColorStay,#f8c7a1,26,35,97,84,US
L'Oréal,Infalliable,#f7cab1,21,28,97,85,US
RMK,RMK Liquid,#f7be87,29,45,97,81,Japan
Addiction,The Foundation,#f8bf88,29,45,97,82,Japan
Kate,Secret Skin Maker Zero,#f7d5bb,26,24,97,88,Japan
Maybelline,Fit Me Matte,#f7d1bc,21,24,97,87,India
Maybelline,Fit Me,#fbd2ad,28,31,98,87,US
Estée Lauder,Double Wear,#fac7a7,23,33,98,84,US
Revlon,ColorStay,#f9caac,23,31,98,85,US
L'Oréal,Infalliable,#fadcc8,24,20,98,90,US
RMK,RMK Liquid,#fbd099,34,39,98,86,Japan
RMK,RMK Liquid,#f9c89f,27,36,98,84,Japan
Shu Uemera,Petal Skin Fluid,#fac6a1,25,36,98,84,Japan
Shu Uemera,Petal Skin Fluid,#f9dabd,29,24,98,89,Japan
NARS,Velvet Matte,#fad8a7,35,33,98,88,Japan
Maybelline,Fit Me Matte,#f9d0b0,26,29,98,86,India
Maybelline,Fit Me Matte,#fbd5bd,23,25,98,86,India
L'Oréal,Infalliable,#fcd6c7,17,21,99,89,US
Trim & Prissy,Hi - Def,#fcd1a7,30,34,99,87,Nigeria
RMK,RMK Liquid,#fcdba8,36,33,99,89,Japan
RMK,RMK Liquid,#fddcbb,30,26,99,90,Japan
Addiction,The Foundation,#fdd5b4,27,29,99,88,Japan
Addiction,The Foundation,#fdcfad,25,32,99,87,Japan
Addiction,The Foundation,#fdcba6,26,34,99,85,Japan
Addiction,The Foundation,#fcc59e,25,37,99,84,Japan
Maybelline,Fit Me,#ffe3c2,32,24,100,92,US
Maybelline,Fit Me,#ffe0cd,23,20,100,91,US
Maybelline,Fit Me,#ffd3be,19,25,100,88,US
Estée Lauder,Double Wear,#ffd6ba,24,27,100,89,US
Estée Lauder,Double Wear,#ffc8a3,24,36,100,85,US
Estée Lauder,Double Wear,#ffcba6,25,35,100,86,US
Addiction,The Foundation,#ffdcbe,28,25,100,90,Japan
Addiction,The Foundation,#ffd8b9,27,27,100,89,Japan
Covergirl + Olay,Simply Ageless,#e1ad81,28,0.43,0.88,75,US
Covergirl + Olay,Simply Ageless,#deb192,24,0.34,0.87,76,US
Covergirl + Olay,Simply Ageless,#e3b490,26,0.37,0.89,77,US
Covergirl + Olay,Simply Ageless,#e5b39a,20,0.33,0.9,77,US
Covergirl + Olay,Simply Ageless,#e1b7a0,21,0.29,0.88,78,US
Covergirl + Olay,Simply Ageless,#e7b590,26,0.38,0.91,78,US
Covergirl + Olay,Simply Ageless,#e9b898,24,0.33,0.91,79,US
Covergirl + Olay,Simply Ageless,#e8bb9c,24,0.35,0.91,79,US
Covergirl + Olay,Simply Ageless,#eabe9e,25,0.32,0.92,80,US
Covergirl + Olay,Simply Ageless,#eac4ae,22,0.26,0.92,82,US
Covergirl + Olay,Simply Ageless,#eac7ab,27,0.27,0.92,83,US
Covergirl + Olay,Simply Ageless,#f7dcca,24,0.18,0.97,90,US
