brand,product,hex,H,S,V,L,country
Maybelline,Fit Me Matte,efb793,23,0.38,0.94,79,India
Lotus Herbals,Make-Up Ecostay,f0c092,29,0.39,0.94,81,India
Maybelline,Fit Me Matte,f0ba81,31,0.46,0.94,80,India
RMK,RMK Liquid,f0a762,29,0.59,0.94,75,Japan
Olivia,Foundation,ef9a5a,26,0.62,0.94,72,India
Maybelline,Fit Me,f3cfb3,26,0.26,0.95,86,US
L'Or??al,Infalliable,f3c6a2,27,0.33,0.95,83,US
Revlon,ColorStay,f1b496,20,0.38,0.95,79,US
Est??e Lauder,Double Wear,f2bb96,24,0.38,0.95,80,US
Revlon,ColorStay,f1bc96,25,0.38,0.95,80,US
RMK,RMK Liquid,f3c095,27,0.39,0.95,82,Japan
Est??e Lauder,Double Wear,f2bf91,28,0.4,0.95,81,US
Maybelline,Fit Me Matte,f3b989,27,0.44,0.95,80,India
Addiction,The Foundation,f3bc86,30,0.45,0.95,80,Japan
Maybelline,Fit Me,f3b584,26,0.46,0.95,79,US
Maybelline,Fit Me Matte,f3b27d,27,0.49,0.95,78,India
Shu Uemera,Petal Skin Fluid,f4d6a4,37,0.33,0.96,87,Japan
NARS,Velvet Matte,f6d0a1,33,0.35,0.96,86,Japan
Hegai and Ester,Photo Perfect,f6a762,28,0.6,0.96,75,Nigeria
Covergirl + Olay,Simply Ageless,f7dcca,24,0.18,0.97,90,US
Maybelline,Fit Me Matte,f7d1bc,21,0.24,0.97,87,India
Kate,Secret Skin Maker Zero,f7d5bb,26,0.24,0.97,88,Japan
L'Or??al,Infalliable,f7cab1,21,0.28,0.97,85,US
Revlon,ColorStay,f8c7a1,26,0.35,0.97,84,US
RMK,RMK Liquid,f7be87,29,0.45,0.97,81,Japan
Addiction,The Foundation,f8bf88,29,0.45,0.97,82,Japan
L'Or??al,Infalliable,fadcc8,24,0.2,0.98,90,US
Shu Uemera,Petal Skin Fluid,f9dabd,29,0.24,0.98,89,Japan
Maybelline,Fit Me Matte,fbd5bd,23,0.25,0.98,86,India
Maybelline,Fit Me Matte,f9d0b0,26,0.29,0.98,86,India
Revlon,ColorStay,f9caac,23,0.31,0.98,85,US
Maybelline,Fit Me,fbd2ad,28,0.31,0.98,87,US
Est??e Lauder,Double Wear,fac7a7,23,0.33,0.98,84,US
NARS,Velvet Matte,fad8a7,35,0.33,0.98,88,Japan
Shu Uemera,Petal Skin Fluid,fac6a1,25,0.36,0.98,84,Japan
RMK,RMK Liquid,f9c89f,27,0.36,0.98,84,Japan
RMK,RMK Liquid,fbd099,34,0.39,0.98,86,Japan
L'Or??al,Infalliable,fcd6c7,17,0.21,0.99,89,US
RMK,RMK Liquid,fddcbb,30,0.26,0.99,90,Japan
Addiction,The Foundation,fdd5b4,27,0.29,0.99,88,Japan
Addiction,The Foundation,fdcfad,25,0.32,0.99,87,Japan
RMK,RMK Liquid,fcdba8,36,0.33,0.99,89,Japan
Addiction,The Foundation,fdcba6,26,0.34,0.99,85,Japan
Trim & Prissy,Hi - Def,fcd1a7,30,0.34,0.99,87,Nigeria
Addiction,The Foundation,fcc59e,25,0.37,0.99,84,Japan
Maybelline,Fit Me,ffe0cd,23,0.2,1,91,US
Maybelline,Fit Me,ffe3c2,32,0.24,1,92,US
Maybelline,Fit Me,ffd3be,19,0.25,1,88,US
Addiction,The Foundation,ffdcbe,28,0.25,1,90,Japan
Est??e Lauder,Double Wear,ffd6ba,24,0.27,1,89,US
Addiction,The Foundation,ffd8b9,27,0.27,1,89,Japan
Est??e Lauder,Double Wear,ffcba6,25,0.35,1,86,US
Est??e Lauder,Double Wear,ffc8a3,24,0.36,1,85,US
